SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697024378.590099,4067,10167.5,1642,4105.0,1782,4455.0,8,1,9,26
1697024380.56063,2584,6460.0,1098,2745.0,1012,2530.0,8,1,9,14
1697024381.919958,3532,8830.0,1620,4050.0,2690,6725.0,8,1,9,28
1697024385.208524,2491,6227.5,1424,3560.0,1650,4125.0,8,1,9,17
1697024387.148998,5110,12775.0,1738,4345.0,2256,5640.0,8,1,9,29
1697024389.730176,6384,15960.0,2048,5120.0,2832,7080.0,8,1,9,38
1697024393.745323,1464,3660.0,1102,2755.0,663,1657.5,8,1,9,11
1697024394.915651,760,1900.0,756,1890.0,149,372.5,8,1,9,1
1697024395.929659,2795,6987.5,1482,3705.0,1532,3830.0,8,1,9,21
1697024397.743758,586,1465.0,748,1870.0,418,1045.0,8,1,9,4
1697024398.806965,2084,5210.0,1090,2725.0,1212,3030.0,8,1,9,10
1697024400.00186,3585,8962.5,1832,4580.0,2240,5600.0,8,1,9,30
1697024402.544839,1136,2840.0,896,2240.0,567,1417.5,8,1,9,6
1697024403.649459,2944,7360.0,1370,3425.0,1688,4220.0,8,1,9,20
1697024405.404007,3276,8190.0,1716,4290.0,2200,5500.0,8,1,9,24
1697024407.769726,1064,2660.0,916,2290.0,653,1632.5,8,1,9,7
1697024408.91216,1298,3245.0,792,1980.0,419,1047.5,8,1,9,4
1697024409.96859,3244,8110.0,1460,3650.0,1570,3925.0,8,1,9,17
1697024411.576969,4382,10955.0,1832,4580.0,1772,4430.0,8,1,9,27
1697024413.915886,6355,15887.5,2104,5260.0,3020,7550.0,8,1,9,40
1697024418.157812,3033,7582.5,1424,3560.0,1386,3465.0,8,1,9,20
1697024419.785583,3818,9545.0,1736,4340.0,2360,5900.0,8,1,9,30
1697024422.374056,220,550.0,272,680.0,179,447.5,8,1,9,2
1697024423.389165,5515,13787.5,1914,4785.0,2366,5915.0,8,1,9,36
1697024426.151927,2738,6845.0,1376,3440.0,1680,4200.0,8,1,9,20
1697024428.145494,2331,5827.5,1652,4130.0,1384,3460.0,8,1,9,22
1697024429.765411,3425,8562.5,1696,4240.0,2056,5140.0,8,1,9,25
1697024431.926394,370,925.0,480,1200.0,251,627.5,8,1,9,2
1697024432.926394,1286,3215.0,892,2230.0,480,1200.0,8,1,9,7
1697024434.008188,845,2112.5,922,2305.0,489,1222.5,8,1,9,5
1697024435.158131,3457,8642.5,1734,4335.0,2012,5030.0,8,1,9,24
1697024437.965995,3410,8525.0,1496,3740.0,1668,4170.0,8,1,9,18
1697024439.601858,4548,11370.0,1680,4200.0,2498,6245.0,8,1,9,32
1697024442.797058,3400,8500.0,1674,4185.0,1856,4640.0,8,1,9,24
1697024444.590727,3704,9260.0,1762,4405.0,1898,4745.0,8,1,9,25
1697024446.660089,3865,9662.5,1708,4270.0,2229,5572.5,8,1,9,29
1697024449.05112,3462,8655.0,1360,3400.0,1854,4635.0,8,1,9,23
1697024451.33473,4238,10595.0,1878,4695.0,2602,6505.0,8,1,9,38
1697024454.925882,396,990.0,428,1070.0,126,315.0,8,1,9,1
1697024455.925882,710,1775.0,838,2095.0,478,1195.0,8,1,9,4
1697024457.045371,3982,9955.0,1848,4620.0,2000,5000.0,8,1,9,30
1697024459.702583,4185,10462.5,1444,3610.0,1696,4240.0,8,1,9,20
1697024461.944221,1631,4077.5,1042,2605.0,830,2075.0,8,1,9,11
1697024463.087543,2451,6127.5,1004,2510.0,939,2347.5,8,1,9,15
1697024464.273015,430,1075.0,468,1170.0,345,862.5,8,1,9,1
1697024465.322044,4647,11617.5,2120,5300.0,2396,5990.0,8,1,9,36
1697024468.666972,2885,7212.5,1596,3990.0,2002,5005.0,8,1,9,22
1697024470.920492,1738,4345.0,926,2315.0,572,1430.0,8,1,9,7
1697024472.009742,5005,12512.5,2096,5240.0,2720,6800.0,8,1,9,40
1697024475.309411,4063,10157.5,1810,4525.0,2282,5705.0,8,1,9,30
1697024478.395466,584,1460.0,696,1740.0,436,1090.0,8,1,9,2
1697024479.43304,4874,12185.0,1840,4600.0,2202,5505.0,8,1,9,31
1697024481.939605,1149,2872.5,842,2105.0,497,1242.5,8,1,9,7
1697024482.998682,3266,8165.0,1626,4065.0,1912,4780.0,8,1,9,22
1697024485.195082,3326,8315.0,1414,3535.0,1686,4215.0,8,1,9,20
1697024486.993403,4138,10345.0,1668,4170.0,2302,5755.0,8,1,9,29
1697024489.474673,5421,13552.5,2114,5285.0,2916,7290.0,8,1,9,40
1697024493.785168,2702,6755.0,1382,3455.0,1954,4885.0,8,1,9,21
1697024495.931192,3212,8030.0,1738,4345.0,1670,4175.0,8,1,9,24
1697024497.982997,518,1295.0,508,1270.0,445,1112.5,8,1,9,4
1697024499.02507,3923,9807.5,1562,3905.0,1966,4915.0,8,1,9,24
1697024501.53206,3633,9082.5,1512,3780.0,2102,5255.0,8,1,9,22
1697024504.113429,1244,3110.0,988,2470.0,651,1627.5,8,1,9,7
1697024505.188555,3336,8340.0,1698,4245.0,1764,4410.0,8,1,9,26
1697024507.449225,3486,8715.0,1662,4155.0,1852,4630.0,8,1,9,25
1697024509.675218,3242,8105.0,1354,3385.0,1538,3845.0,8,1,9,17
1697024511.248212,2719,6797.5,1374,3435.0,1385,3462.5,8,1,9,19
1697024512.969615,1429,3572.5,1160,2900.0,1084,2710.0,8,1,9,12
1697024514.265952,1966,4915.0,1094,2735.0,940,2350.0,8,1,9,8
1697024515.507501,5860,14650.0,1870,4675.0,2690,6725.0,8,1,9,35
1697024518.640912,3429,8572.5,1482,3705.0,1722,4305.0,8,1,9,22
1697024520.696246,3768,9420.0,1520,3800.0,1754,4385.0,8,1,9,21
1697024522.605655,2421,6052.5,1316,3290.0,1238,3095.0,8,1,9,16
1697024524.027586,2934,7335.0,1250,3125.0,1274,3185.0,8,1,9,15
1697024525.445281,4032,10080.0,1786,4465.0,2078,5195.0,8,1,9,26
1697024527.57012,5350,13375.0,1948,4870.0,2854,7135.0,8,1,9,38
1697024531.350737,4051,10127.5,1564,3910.0,2044,5110.0,8,1,9,28
1697024533.624375,3424,8560.0,1614,4035.0,1598,3995.0,8,1,9,24
1697024535.178037,2824,7060.0,1550,3875.0,1946,4865.0,8,1,9,22
1697024537.29963,2479,6197.5,1288,3220.0,1306,3265.0,8,1,9,16
1697024538.734538,3517,8792.5,1540,3850.0,1950,4875.0,8,1,9,22
1697024541.360872,2722,6805.0,1216,3040.0,1160,2900.0,8,1,9,19
1697024542.924164,5153,12882.5,2148,5370.0,2996,7490.0,8,1,9,36
1697024547.153799,3391,8477.5,1714,4285.0,1633,4082.5,8,1,9,24
1697024549.172033,1292,3230.0,812,2030.0,812,2030.0,8,1,9,8
1697024550.253579,4342,10855.0,1802,4505.0,2127,5317.5,8,1,9,30
1697024552.789927,962,2405.0,822,2055.0,630,1575.0,8,1,9,6
1697024553.900852,790,1975.0,812,2030.0,438,1095.0,8,1,9,1
1697024554.917329,909,2272.5,866,2165.0,514,1285.0,8,1,9,6
1697024555.955492,2128,5320.0,1050,2625.0,696,1740.0,8,1,9,10
1697024557.110758,5223,13057.5,1790,4475.0,2542,6355.0,8,1,9,37
1697024560.106738,276,690.0,336,840.0,324,810.0,8,1,9,2
1697024561.138002,2018,5045.0,1208,3020.0,1050,2625.0,8,1,9,10
1697024562.567797,3019,7547.5,1376,3440.0,1346,3365.0,8,1,9,16
1697024564.05537,5431,13577.5,2196,5490.0,2488,6220.0,8,1,9,36
1697024567.241695,2886,7215.0,1382,3455.0,1478,3695.0,8,1,9,18
1697024568.948785,3967,9917.5,1780,4450.0,2522,6305.0,8,1,9,31
1697024571.87252,2059,5147.5,1184,2960.0,937,2342.5,8,1,9,13
1697024573.116114,3286,8215.0,1796,4490.0,2024,5060.0,8,1,9,27
1697024575.734568,1454,3635.0,1044,2610.0,802,2005.0,8,1,9,10
1697024577.019784,4939,12347.5,1894,4735.0,2404,6010.0,8,1,9,35
1697024580.424838,1960,4900.0,1190,2975.0,924,2310.0,8,1,9,13
1697024581.842672,4432,11080.0,1740,4350.0,2168,5420.0,8,1,9,31
1697024583.969555,4954,12385.0,2094,5235.0,2814,7035.0,8,1,9,40
1697024586.832938,1938,4845.0,1004,2510.0,746,1865.0,8,1,9,12
1697024588.074305,2207,5517.5,1202,3005.0,1412,3530.0,8,1,9,15
1697024589.555435,3590,8975.0,1650,4125.0,2028,5070.0,8,1,9,25
1697024592.307326,5243,13107.5,1922,4805.0,2620,6550.0,8,1,9,34
1697024595.242537,5171,12927.5,2044,5110.0,2616,6540.0,8,1,9,34
1697024598.396881,4319,10797.5,1524,3810.0,1762,4405.0,8,1,9,24
1697024599.99317,1206,3015.0,912,2280.0,538,1345.0,8,1,9,4
1697024601.045081,400,1000.0,452,1130.0,334,835.0,8,1,9,2
1697024602.098154,5441,13602.5,2082,5205.0,2704,6760.0,8,1,9,36
1697024605.546147,508,1270.0,570,1425.0,422,1055.0,8,1,9,3
1697024606.546147,1041,2602.5,842,2105.0,493,1232.5,8,1,9,6
1697024607.629679,3395,8487.5,1714,4285.0,2148,5370.0,8,1,9,27
1697024610.411014,6018,15045.0,2094,5235.0,2964,7410.0,8,1,9,40
1697024614.169274,5345,13362.5,1970,4925.0,2864,7160.0,8,1,9,33
1697024617.830047,314,785.0,436,1090.0,432,1080.0,8,1,9,3
1697024618.850949,3770,9425.0,1560,3900.0,1772,4430.0,8,1,9,24
1697024620.811488,5434,13585.0,2132,5330.0,3046,7615.0,8,1,9,40
1697024624.562967,2847,7117.5,1362,3405.0,1278,3195.0,8,1,9,16
1697024626.045757,4787,11967.5,1890,4725.0,2488,6220.0,8,1,9,33
1697024628.821319,2018,5045.0,944,2360.0,691,1727.5,8,1,9,9
1697024630.054307,1439,3597.5,900,2250.0,766,1915.0,8,1,9,9
1697024631.336974,3338,8345.0,1424,3560.0,1840,4600.0,8,1,9,23
1697024633.194816,616,1540.0,646,1615.0,383,957.5,8,1,9,3
1697024634.20935,4345,10862.5,1940,4850.0,2578,6445.0,8,1,9,33
