SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697022357.263836,1171,2927.5,900,2250.0,514,1285.0,6,1,7,10
1697022358.377164,292,375.0,340,430.0,162,232.5,1,3,2,4
1697022359.379986,2489,6222.5,1226,3065.0,1539,3847.5,7,1,8,21
1697022360.842784,2200,3245.0,1492,1965.0,674,962.5,5,2,6,15
1697022361.898589,3269,3097.5,2720,2430.0,2104,2122.5,5,3,6,33
1697022363.125288,3082,2475.0,2254,1600.0,2987,2485.0,4,4,5,32
1697022364.255859,340,850.0,344,860.0,174,435.0,4,1,5,5
1697022365.261391,3409,2945.0,2628,1805.0,1642,1215.0,4,4,5,35
1697022366.380913,192,480.0,166,415.0,126,315.0,2,1,3,4
1697022367.395896,4345,5070.0,2870,2600.0,3322,3100.0,7,3,8,29
1697022368.736601,308,770.0,334,835.0,156,390.0,2,1,3,5
1697022369.753691,1951,1500.0,1864,1290.0,829,715.0,4,4,5,14
1697022370.814716,3053,3180.0,2448,2240.0,1847,1797.5,7,3,8,20
1697022372.106785,224,355.0,330,405.0,191,187.5,1,4,2,6
1697022373.109829,6270,4970.0,4090,2760.0,3317,2320.0,8,4,9,38
1697022374.943139,343,857.5,346,865.0,164,410.0,2,1,3,5
1697022375.96087,1204,1735.0,1248,1750.0,543,682.5,7,2,8,4
1697022376.969467,428,820.0,520,860.0,273,447.5,3,2,4,3
1697022377.975337,2086,2785.0,1676,2120.0,1277,1777.5,7,2,8,13
1697022379.225756,2062,3075.0,1572,2065.0,750,1000.0,7,2,8,10
1697022380.285247,4817,4797.5,3380,2895.0,2748,2490.0,8,3,9,34
1697022382.035912,1778,1835.0,2030,1825.0,1763,1757.5,5,3,6,16
1697022383.1436,725,1812.5,328,820.0,328,820.0,1,1,2,24
1697022384.178596,2504,3260.0,1762,2245.0,1300,1630.0,6,2,7,16
1697022385.29321,444,340.0,576,420.0,259,307.5,1,4,2,8
1697022386.310435,818,1082.5,656,820.0,409,670.0,1,2,2,18
1697022387.322365,3794,9485.0,1412,3530.0,1906,4765.0,6,1,7,28
1697022389.2572,2912,3777.5,1758,2230.0,1388,1865.0,4,2,5,37
1697022390.474229,3498,8745.0,1560,3900.0,1525,3812.5,5,1,6,35
1697022392.205771,5964,4150.0,4084,2755.0,3128,2235.0,8,4,9,40
1697022393.844963,4722,6040.0,3108,3050.0,4109,4020.0,8,3,9,34
1697022395.518031,3958,5935.0,2380,2980.0,2481,3185.0,6,2,7,34
1697022397.308249,1633,2235.0,656,820.0,630,817.5,1,2,2,40
1697022398.361479,1786,2135.0,1626,1675.0,759,802.5,6,3,7,7
1697022399.378389,2119,2160.0,1642,1715.0,1623,1772.5,3,3,4,28
1697022400.457704,404,360.0,240,200.0,208,200.0,0,3,1,24
1697022401.46029,6165,6195.0,3062,2695.0,2589,2385.0,7,3,8,40
1697022403.131801,3434,4595.0,1938,2755.0,1781,2382.5,6,2,7,31
1697022404.514588,4305,5492.5,1866,2440.0,2259,3420.0,5,2,6,35
1697022405.809436,2125,5312.5,932,2330.0,1282,3205.0,3,1,4,40
1697022407.212107,1032,1035.0,1346,1180.0,675,610.0,4,3,5,10
1697022408.258685,3211,4260.0,1550,2115.0,1192,1605.0,4,2,5,31
1697022409.400308,3544,2880.0,3008,2120.0,2067,1655.0,6,4,7,33
1697022410.635771,5164,6270.0,3110,2885.0,2719,2415.0,8,3,9,30
1697022412.545673,5043,12607.5,2044,5110.0,2652,6630.0,8,1,9,32
1697022416.045484,4081,3685.0,2864,2640.0,2262,2117.5,7,3,8,25
1697022417.50889,2500,6250.0,1244,3110.0,1860,4650.0,6,1,7,27
1697022419.408277,662,1655.0,434,1085.0,280,700.0,3,1,4,8
1697022420.421562,470,1175.0,328,820.0,200,500.0,1,1,2,11
1697022421.433824,1280,3200.0,328,820.0,531,1327.5,1,1,2,39
1697022422.500699,3391,3270.0,2784,2510.0,2596,2585.0,6,3,7,32
1697022424.010571,2804,7010.0,1262,3155.0,1356,3390.0,6,1,7,23
1697022425.47841,616,795.0,688,870.0,313,440.0,2,2,3,8
1697022426.495322,4643,4285.0,3218,2090.0,3309,2375.0,6,4,7,40
1697022427.960487,4553,6267.5,2494,3135.0,2075,2690.0,8,2,9,29
1697022429.763415,1580,2270.0,1230,1825.0,756,952.5,7,2,8,8
1697022430.819216,2420,1650.0,2634,1860.0,1740,1417.5,5,4,6,26
1697022432.006597,2316,3095.0,1542,1945.0,1883,2905.0,3,2,4,39
1697022433.176386,704,640.0,920,835.0,323,310.0,2,3,3,8
1697022434.176386,168,420.0,80,200.0,44,110.0,0,1,1,8
1697022435.187719,990,885.0,948,1060.0,1092,1100.0,2,3,3,16
1697022436.212629,1811,1695.0,1342,1255.0,1132,1180.0,2,3,3,34
1697022437.283975,1564,1960.0,1232,1560.0,741,1237.5,5,2,6,14
1697022438.351829,598,1120.0,712,1300.0,393,545.0,7,3,8,2
1697022439.373288,2046,2412.5,1438,1280.0,1062,985.0,2,3,3,32
1697022440.420279,1368,2025.0,1284,1785.0,904,1250.0,5,2,6,17
1697022441.507319,1464,1135.0,1706,1320.0,636,620.0,4,4,5,11
1697022442.526346,3934,5285.0,2244,2810.0,2130,3105.0,8,2,9,25
1697022444.283164,86,215.0,84,210.0,83,207.5,5,3,6,1
1697022445.301013,2786,2445.0,2602,1785.0,1302,917.5,6,4,7,16
1697022446.354745,626,820.0,732,990.0,659,1015.0,8,3,9,4
1697022447.367806,1594,3985.0,1152,2880.0,992,2480.0,7,1,8,13
1697022448.73749,1353,1412.5,1618,1630.0,952,865.0,6,3,7,8
1697022449.771026,3306,2650.0,2998,1960.0,1525,1127.5,8,4,9,14
1697022450.908183,1860,2055.0,1808,1720.0,970,997.5,3,3,4,31
1697022451.980103,2204,5510.0,844,2110.0,1046,2615.0,3,1,4,37
1697022453.269123,3894,3725.0,3004,2505.0,2572,2372.5,7,3,8,30
1697022454.786815,1176,1460.0,1356,1595.0,909,905.0,6,3,7,8
1697022455.82855,2190,1592.5,2428,1715.0,2110,1502.5,4,4,5,31
1697022456.975597,4155,4195.0,2666,2470.0,2108,2027.5,5,3,6,37
1697022458.274821,2503,6257.5,1264,3160.0,1113,2782.5,7,1,8,21
1697022459.718296,5380,3960.0,3530,2325.0,2815,2065.0,6,4,7,40
1697022461.257022,208,520.0,80,200.0,46,115.0,0,1,1,12
1697022462.258023,2111,5277.5,968,2420.0,1134,2835.0,4,1,5,24
1697022463.581237,430,1075.0,328,820.0,164,410.0,1,1,2,11
1697022464.590462,1225,1415.0,1438,1385.0,736,725.0,4,3,5,13
1697022465.632853,2736,3805.0,1576,2170.0,1561,2407.5,5,2,6,22
1697022466.796706,3205,2415.0,2514,1595.0,1731,1382.5,5,4,6,26
1697022467.910166,3623,4145.0,2332,2110.0,2485,2955.0,6,3,7,26
1697022469.307445,254,270.0,240,200.0,128,110.0,0,3,1,19
1697022470.310441,1470,3675.0,954,2385.0,736,1840.0,4,1,5,14
1697022471.419445,1284,955.0,1364,865.0,892,840.0,2,4,3,22
1697022472.445921,2527,2225.0,1722,1515.0,1191,1367.5,3,3,4,36
1697022473.550554,1765,2285.0,1492,1935.0,928,1180.0,4,2,5,21
1697022474.652814,884,1010.0,1068,1180.0,418,610.0,4,3,5,5
1697022475.700363,1171,1667.5,656,820.0,656,1110.0,1,2,2,33
1697022476.729482,500,670.0,160,200.0,94,120.0,0,2,1,30
1697022477.732619,124,310.0,164,410.0,18,45.0,1,1,2,3
1697022478.732619,2899,7247.5,1222,3055.0,1428,3570.0,4,1,5,38
1697022480.306916,134,195.0,240,200.0,86,95.0,0,4,1,6
1697022481.306916,2830,7075.0,1330,3325.0,1363,3407.5,7,1,8,22
1697022482.78423,899,2247.5,506,1265.0,462,1155.0,2,1,3,18
1697022483.826871,2155,2177.5,1932,1780.0,1861,1867.5,5,3,6,23
1697022484.955991,2752,6880.0,1414,3535.0,1624,4060.0,8,1,9,16
1697022486.951972,2043,1505.0,2032,1335.0,1017,715.0,4,4,5,18
1697022487.995808,164,310.0,248,420.0,117,202.5,1,2,2,2
1697022488.997464,2163,1565.0,1668,1260.0,1000,845.0,2,4,3,31
1697022490.043801,1492,1780.0,1602,1830.0,848,1100.0,8,4,9,5
1697022491.064808,3027,2735.0,2538,1780.0,2276,1522.5,5,4,6,27
1697022492.26777,1006,1405.0,852,1075.0,398,535.0,2,2,3,15
1697022493.283495,541,715.0,578,820.0,238,317.5,1,2,2,13
1697022494.288431,6311,5080.0,4046,2630.0,3132,2157.5,8,4,9,36
1697022496.14605,601,652.5,822,625.0,327,317.5,1,4,2,13
1697022497.161651,376,315.0,320,200.0,246,175.0,0,4,1,18
1697022498.164329,1964,3090.0,1508,1965.0,1122,1442.5,6,2,7,13
1697022499.323669,194,485.0,298,745.0,390,975.0,8,1,9,3
1697022500.337537,1999,1845.0,1642,1720.0,2164,2442.5,3,3,4,33
1697022501.486082,2837,7092.5,1302,3255.0,1108,2770.0,5,1,6,27
1697022502.827245,1512,3780.0,848,2120.0,924,2310.0,3,1,4,30
1697022504.018745,1940,1505.0,2102,1530.0,1209,1050.0,4,4,5,21
1697022505.091001,1674,1557.5,1502,1350.0,929,937.5,4,3,5,15
1697022506.158508,2467,3225.0,1764,2430.0,1443,1850.0,5,2,6,31
1697022507.3994,1224,3060.0,328,820.0,346,865.0,1,1,2,28
1697022508.425671,1775,2435.0,1010,1270.0,1038,1305.0,2,2,3,37
1697022509.579211,3466,2650.0,3112,2065.0,2045,1565.0,6,4,7,29
1697022510.846038,3875,9687.5,1384,3460.0,1566,3915.0,5,1,6,37
1697022512.639936,258,255.0,420,420.0,169,147.5,1,4,2,3
1697022513.642965,4258,4555.0,2810,2405.0,2245,2002.5,5,3,6,39
1697022515.044499,3291,8227.5,1322,3305.0,1786,4465.0,6,1,7,35
1697022517.121683,528,680.0,574,820.0,337,477.5,1,2,2,12
1697022518.137571,5831,5370.0,3090,2725.0,2970,2857.5,7,3,8,40
1697022519.980811,2319,5797.5,932,2330.0,928,2320.0,3,1,4,34
1697022521.164742,2938,4295.0,1370,1715.0,1412,2120.0,3,2,4,34
1697022522.307826,977,2442.5,328,820.0,515,1287.5,1,1,2,28
1697022523.353715,4350,10875.0,1750,4375.0,2200,5500.0,6,1,7,40
1697022525.832388,2629,2300.0,2110,1935.0,1450,1285.0,4,3,5,28
1697022526.965522,2848,7120.0,1206,3015.0,1542,3855.0,4,1,5,35
1697022528.447274,162,405.0,80,200.0,46,115.0,0,1,1,9
1697022529.449306,3359,3380.0,2276,2145.0,1473,1400.0,6,3,7,22
1697022530.644101,643,1607.5,506,1265.0,318,795.0,2,1,3,14
1697022531.673776,1878,1280.0,2144,1560.0,993,847.5,5,4,6,13
1697022532.714302,2650,2680.0,2044,1810.0,1502,1555.0,6,3,7,20
1697022533.883043,498,485.0,240,200.0,166,185.0,0,3,1,37
1697022534.883043,856,1315.0,872,1340.0,390,727.5,5,3,6,2
1697022535.897298,1100,862.5,1078,820.0,725,637.5,1,4,2,28
1697022536.903792,1854,1265.0,1542,1075.0,1080,885.0,2,4,3,30
1697022537.940213,1538,1395.0,1730,1660.0,1037,815.0,7,4,8,8
1697022538.9673,606,915.0,160,200.0,132,220.0,0,2,1,39
1697022539.97183,5062,4862.5,3424,3055.0,2721,2445.0,7,3,8,40
1697022541.606287,3080,7700.0,1350,3375.0,1220,3050.0,6,1,7,26
1697022543.061505,2299,2100.0,2512,2525.0,1758,1755.0,8,3,9,17
1697022544.281868,118,295.0,80,200.0,42,105.0,0,1,1,7
1697022545.281868,2623,3447.5,1606,2010.0,1149,1507.5,5,2,6,22
1697022546.478155,602,775.0,160,200.0,126,200.0,0,2,1,38
1697022547.478155,1838,4595.0,1000,2500.0,899,2247.5,7,1,8,11
1697022548.770424,790,735.0,948,860.0,543,425.0,2,4,3,13
1697022549.786569,1491,1900.0,1210,1530.0,1363,2030.0,3,2,4,26
1697022550.914194,1551,3877.5,506,1265.0,668,1670.0,2,1,3,31
1697022552.005578,2555,3447.5,1860,2395.0,1516,1945.0,6,2,7,24
1697022553.31702,4279,5597.5,2220,2865.0,1812,2380.0,5,2,6,38
1697022554.880779,1262,1415.0,1420,1325.0,779,720.0,5,3,6,7
1697022555.917665,1924,1620.0,2092,1780.0,1138,835.0,8,4,9,7
